page,list_project_name,list_project_code,list_report_code,list_apply_time,list_area,list_project_type,detail_project_code,detail_project_name,detail_project_type,company_name,detail_report_code
1,泽胜牧光吕岭路光伏充换电站,2410-350203-06-05-609489,,2024-10-17,福建省厦门市思明区,备案类,2410-350203-06-05-609489,泽胜牧光吕岭路光伏充换电站,备案类,厦门鑫泽胜新能源科技有限公司,
1,厦门市公安局思明分局40KW分布式光伏发电项目,2409-350203-06-05-561749,,2024-09-20,福建省厦门市思明区,备案类,2409-350203-06-05-561749,厦门市公安局思明分局40KW分布式光伏发电项目,备案类,厦门熙光微品新能源有限公司,
1,福建新华发行（集团）150KW屋顶分布式光伏发电项目,2408-350203-06-01-887379,,2024-08-12,福建省厦门市思明区,备案类,2408-350203-06-01-887379,福建新华发行（集团）150KW屋顶分布式光伏发电项目,备案类,福建泉州市里宽智能科技有限公司,
1,厦门国家会计学院 0.37MWP分布式光伏发电项目,2312-350203-06-05-280659,,2024-08-07,福建省厦门市思明区,备案类,2312-350203-06-05-280659,厦门国家会计学院 0.37MWP分布式光伏发电项目,备案类,厦门益光汇晶新能源科技有限公司,
1,厦门市思明区新华书店0.053MWP分布式光伏发电项目,2407-350203-06-01-562091,,2024-07-16,福建省厦门市思明区,备案类,2407-350203-06-01-562091,厦门市思明区新华书店0.053MWP分布式光伏发电项目,备案类,福建新华发行（集团）有限责任公司厦门分公司,
1,厦门市龙居酒店管理有限公司屋顶86.73KWP分布式光伏发电项目,2405-350203-06-05-768440,,2024-05-31,福建省厦门市思明区,备案类,2405-350203-06-05-768440,厦门市龙居酒店管理有限公司屋顶86.73KWP分布式光伏发电项目,备案类,厦门市龙居酒店管理有限公司,
1,厦门汇成商业中心屋顶294KWP分布式光伏发电项目,2405-350203-06-05-127591,,2024-05-23,福建省厦门市思明区,备案类,2405-350203-06-05-127591,厦门汇成商业中心屋顶294KWP分布式光伏发电项目,备案类,厦门谛光生态科技有限公司,
1,中石化308油库车棚55KW分布式光伏发电项目,2403-350203-06-05-564979,,2024-03-25,福建省厦门市思明区,备案类,2403-350203-06-05-564979,中石化308油库车棚55KW分布式光伏发电项目,备案类,中国石化销售股份有限公司福建厦门石油分公司,
1,中石化308油库52.32kWp分布式光伏发电项目,2403-350203-06-05-276723,,2024-03-22,福建省厦门市思明区,备案类,2403-350203-06-05-276723,中石化308油库52.32kWp分布式光伏发电项目,备案类,中石化森美（福建）石油有限公司厦门分公司,
1,分布式光伏—储能—充放电一体化低碳微电网示范基地,2311-350203-06-01-388497,,2023-11-17,福建省厦门市思明区,备案类,2311-350203-06-01-388497,分布式光伏—储能—充放电一体化低碳微电网示范基地,备案类,厦门大学,
